,sentence,target,target_type,category,polarity,opinin_Term
0,"The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",wait,explicit,SERVICE GENERAL,negative,long
1,"The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",atmosphere,explicit,AMBIENCE GENERAL,negative,raucous
2,"The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,sleek
3,"Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",food,explicit,FOOD QUALITY,positive,GREAT
4,"Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",NULL,implicit,RESTAURANT PRICES,positive,cheap
5,Food is excellent .,Food,explicit,FOOD QUALITY,positive,excellent
6,As always we had a great glass of wine while we waited .,glass of wine,explicit,DRINKS QUALITY,positive,great
7,I can not imagine a friendlier staff working in a restaurant .,staff,explicit,SERVICE GENERAL,positive,friendlier
8,"Also , specify if you like your food spicy- its rather bland if you do n't .",food,explicit,FOOD QUALITY,negative,bland
9,Big Wong gets big Ups for a fine establishment .,Big Wong,explicit,RESTAURANT GENERAL,positive,big Ups
10,Big Wong gets big Ups for a fine establishment .,Big Wong,explicit,RESTAURANT GENERAL,positive,fine
11,I was pleasantly suprised .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly suprised
12,We all agreed that mare is one of the best seafood restaurants in New York .,mare,explicit,RESTAURANT GENERAL,positive,best
13,I ca n't wait to go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
14,The place was nice and calm .,place,explicit,AMBIENCE GENERAL,positive,nice
15,The place was nice and calm .,place,explicit,AMBIENCE GENERAL,positive,calm
16,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service,explicit,SERVICE GENERAL,positive,great
17,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,explicit,FOOD QUALITY,positive,great
18,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,explicit,FOOD PRICES,positive,great
19,I would highly recommend .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommend
