As_true	As_pre	sentence	true_ner	predict_ner
SERVICE#GENERAL#NEGATIVE	SERVICE#GENERAL#NEGATIVE	[CLS] i waited for 10 - 15 minutes for service ordered a beer & was never served again. [SEP]	O O O O O O O O O B-EO O O O O O O O O O O	O O O O O O O O O B-EO O O O O O O I-NULL O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] the ambiance was a peaceful and relaxing break amongst all the kids running around in downtown disney. [SEP]	O O B-EO O O O O O O O O O O O O O O O O O	O O B-EO O O O O O O O O O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] hidden little jem [SEP]	O B-NULL O O O	O B-NULL O I-NULL O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] i went there with a friend from out of town... and we were both very impressed! [SEP]	O O O O O O O O O O O O O O O O O O O B-NULL O O	O O O O O O O O O O O O O O O O O O O B-NULL O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] it has great sushi and even better service. [SEP]	O O O O B-EO O O O O O O	O O O O B-EO O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] it has great sushi and even better service. [SEP]	O O O O O O O O B-EO O O	O O O O O O O O B-EO O O
FOOD#QUALITY#POSITIVE	FOOD#QUALITY#POSITIVE	[CLS] all their menu items are a hit, and they serve mimosas. [SEP]	O O O B-EO I-EO O O O O O O O O O O	O O O B-EO O O O O O O O O O O O
AMBIENCE#GENERAL#POSITIVE	AMBIENCE#GENERAL#POSITIVE	[CLS] –... and the best summertime deck experience - - they will even bring you a blanket if you get cold in the seattle evening weather. [SEP]	O O O O O O O O O B-EO O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-NULL O B-EO O O O O O O O O O O O O O O O O O O O O O
SERVICE#GENERAL#POSITIVE	SERVICE#GENERAL#POSITIVE	[CLS] –... and the best summertime deck experience - - they will even bring you a blanket if you get cold in the seattle evening weather. [SEP]	O O O O O O O O O O O O O O O O B-NULL I-NULL I-NULL I-NULL O B-NULL O O O O O O O O O	O O O O O O O O O O O O O O O O O B-NULL O O O B-NULL O O O O O O O O O
RESTAURANT#GENERAL#POSITIVE	RESTAURANT#GENERAL#POSITIVE	[CLS] – after 12 years in seattle ray s rates as the place we always go back to. [SEP]	O O O O O O O B-EO I-EO O O O O O O O O O O O	O O O O O O O B-EO I-EO O O O O O O O O O O O
