,guid,sentence,opinion_type,target,opinin_Term,polarity,aspect_p,pos_tag,emd_con1,emd_con2,emd_con3,emd_con4,OP_Term_Tag,Target_Tag
0,train-0,"['We', 'have', 'gone', 'for', 'dinner', 'only', 'a', 'few', 'times', 'but', 'the', 'same', 'great', 'quality', 'and', 'service', 'is', 'given', '.']",explicit,service,great,positive,SERVICE GENERAL positive,"['PRON', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADV', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'O', 'O', 'O']"
1,train-1,"['We', 'have', 'gone', 'for', 'dinner', 'only', 'a', 'few', 'times', 'but', 'the', 'same', 'great', 'quality', 'and', 'service', 'is', 'given', '.']",explicit,dinner,great quality,positive,FOOD QUALITY positive,"['PRON', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADV', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'AUX', 'VERB', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'NOUN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'I-ET', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,train-2,"['Its', 'dark', ',', 'and', 'cozy', '.', '.', 'there', 'is', 'always', 'jazz', 'music', 'playing', 'when', 'we', 'go', '.']",implicit,,cozy,positive,AMBIENCE GENERAL positive,"['PRON', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'PUNCT', 'PUNCT', 'PRON', 'VERB', 'ADV', 'NOUN', 'NOUN', 'VERB', 'SCONJ', 'PRON', 'VERB', 'PUNCT']","['O', 'NOUN', 'O', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRON', 'NOUN', 'O', 'CCONJ', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRON', 'NOUN', 'O', 'CCONJ', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRON', 'NOUN', 'O', 'CCONJ', 'ADJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-IT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-NULL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,train-3,"['This', 'place', 'has', 'great', 'indian', 'chinese', 'food', '.']",explicit,indian chinese food,great,positive,FOOD QUALITY positive,"['DET', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['O', 'O', 'O', 'ADJ', 'O', 'O', 'NOUN', 'O']","['O', 'O', 'O', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'O']","['O', 'O', 'O', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'O']","['O', 'O', 'O', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'O']","['O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-EO', 'I-EO', 'I-EO', 'O']"
4,train-4,"['Not', 'what', 'I', 'would', 'expect', 'for', 'the', 'price', 'and', 'prestige', 'of', 'this', 'location', '.']",explicit,location,expect,neutral,RESTAURANT PRICES neutral,"['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O']","['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'O']"
5,train-5,"['Not', 'what', 'I', 'would', 'expect', 'for', 'the', 'price', 'and', 'prestige', 'of', 'this', 'location', '.']",explicit,location,expect,neutral,RESTAURANT MISCELLANEOUS neutral,"['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['O', 'O', 'O', 'O', 'VERB', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O']","['PART', 'PRON', 'PRON', 'AUX', 'VERB', 'ADP', 'O', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EO', 'O']"
6,train-6,"['Finally', 'a', 'reliable', 'Chinese', 'restaurant', '!']",explicit,Chinese restaurant,reliable,positive,RESTAURANT GENERAL positive,"['ADV', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['O', 'O', 'ADJ', 'O', 'NOUN', 'O']","['ADV', 'O', 'ADJ', 'ADJ', 'NOUN', 'O']","['ADV', 'O', 'ADJ', 'ADJ', 'NOUN', 'O']","['ADV', 'O', 'ADJ', 'ADJ', 'NOUN', 'O']","['O', 'O', 'B-ET', 'O', 'O', 'O']","['O', 'O', 'O', 'B-EO', 'I-EO', 'O']"
7,train-7,"['The', 'lobster', 'knuckles', '(', 'special', 'of', 'the', 'day', ')', 'were', 'ok', ',', 'but', 'pretty', 'tasteless', '.']",explicit,lobster knuckles,ok,neutral,FOOD STYLE_OPTIONS neutral,"['DET', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'O', 'ADJ', 'O']","['O', 'ADJ', 'NOUN', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'ADV', 'ADJ', 'O']","['O', 'ADJ', 'NOUN', 'O', 'ADJ', 'ADP', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'ADV', 'ADJ', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'I-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,train-8,"['The', 'lobster', 'knuckles', '(', 'special', 'of', 'the', 'day', ')', 'were', 'ok', ',', 'but', 'pretty', 'tasteless', '.']",explicit,lobster knuckles,tasteless,negative,FOOD QUALITY negative,"['DET', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'AUX', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'PUNCT']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'AUX', 'O', 'O', 'O', 'O', 'ADJ', 'O']","['O', 'O', 'NOUN', 'O', 'O', 'O', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'O', 'ADJ', 'O']","['O', 'ADJ', 'NOUN', 'O', 'ADJ', 'O', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'O', 'ADJ', 'O']","['O', 'ADJ', 'NOUN', 'O', 'ADJ', 'ADP', 'O', 'O', 'O', 'AUX', 'ADJ', 'O', 'CCONJ', 'O', 'ADJ', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ET', 'O']","['O', 'B-EO', 'I-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,train-9,"['The', 'menu', 'is', 'fairly', 'simple', 'without', 'much', 'descriptions', '.']",explicit,menu,simple,neutral,FOOD STYLE_OPTIONS neutral,"['DET', 'NOUN', 'AUX', 'ADV', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","['O', 'O', 'AUX', 'O', 'ADJ', 'O', 'O', 'O', 'O']","['O', 'NOUN', 'AUX', 'O', 'ADJ', 'ADP', 'O', 'O', 'O']","['O', 'NOUN', 'AUX', 'O', 'ADJ', 'ADP', 'O', 'NOUN', 'O']","['O', 'NOUN', 'AUX', 'O', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'O']","['O', 'O', 'O', 'O', 'B-ET', 'O', 'O', 'O', 'O']","['O', 'B-EO', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
